Unnamed: 0,id,date,country,store,product,num_sold
64,64,2010-01-01,Norway,Discount Stickers,Kerneler Dark Mode,911.0
65,65,2010-01-01,Norway,Stickers for Less,Holographic Goose,579.0
66,66,2010-01-01,Norway,Stickers for Less,Kaggle,3369.0
67,67,2010-01-01,Norway,Stickers for Less,Kaggle Tiers,3195.0
68,68,2010-01-01,Norway,Stickers for Less,Kerneler,1606.0
69,69,2010-01-01,Norway,Stickers for Less,Kerneler Dark Mode,1672.0
70,70,2010-01-01,Norway,Premium Sticker Mart,Holographic Goose,625.0
71,71,2010-01-01,Norway,Premium Sticker Mart,Kaggle,3940.0
72,72,2010-01-01,Norway,Premium Sticker Mart,Kaggle Tiers,3430.0
73,73,2010-01-01,Norway,Premium Sticker Mart,Kerneler,1951.0
74,74,2010-01-01,Norway,Premium Sticker Mart,Kerneler Dark Mode,2376.0
75,75,2010-01-01,Singapore,Discount Stickers,Holographic Goose,150.0
76,76,2010-01-01,Singapore,Discount Stickers,Kaggle,939.0
77,77,2010-01-01,Singapore,Discount Stickers,Kaggle Tiers,768.0
78,78,2010-01-01,Singapore,Discount Stickers,Kerneler,405.0
79,79,2010-01-01,Singapore,Discount Stickers,Kerneler Dark Mode,495.0
80,80,2010-01-01,Singapore,Stickers for Less,Holographic Goose,301.0
81,81,2010-01-01,Singapore,Stickers for Less,Kaggle,1981.0
82,82,2010-01-01,Singapore,Stickers for Less,Kaggle Tiers,1565.0
83,83,2010-01-01,Singapore,Stickers for Less,Kerneler,841.0
84,84,2010-01-01,Singapore,Stickers for Less,Kerneler Dark Mode,1080.0
85,85,2010-01-01,Singapore,Premium Sticker Mart,Holographic Goose,317.0
86,86,2010-01-01,Singapore,Premium Sticker Mart,Kaggle,2112.0
87,87,2010-01-01,Singapore,Premium Sticker Mart,Kaggle Tiers,1992.0
88,88,2010-01-01,Singapore,Premium Sticker Mart,Kerneler,1045.0
89,89,2010-01-01,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1255.0
90,90,2010-01-02,Canada,Discount Stickers,Holographic Goose,
91,91,2010-01-02,Canada,Discount Stickers,Kaggle,881.0
92,92,2010-01-02,Canada,Discount Stickers,Kaggle Tiers,854.0
93,93,2010-01-02,Canada,Discount Stickers,Kerneler,440.0
94,94,2010-01-02,Canada,Discount Stickers,Kerneler Dark Mode,437.0
95,95,2010-01-02,Canada,Stickers for Less,Holographic Goose,281.0
96,96,2010-01-02,Canada,Stickers for Less,Kaggle,1972.0
97,97,2010-01-02,Canada,Stickers for Less,Kaggle Tiers,1541.0
98,98,2010-01-02,Canada,Stickers for Less,Kerneler,783.0
99,99,2010-01-02,Canada,Stickers for Less,Kerneler Dark Mode,1068.0
100,100,2010-01-02,Canada,Premium Sticker Mart,Holographic Goose,336.0
101,101,2010-01-02,Canada,Premium Sticker Mart,Kaggle,2183.0
102,102,2010-01-02,Canada,Premium Sticker Mart,Kaggle Tiers,1953.0
103,103,2010-01-02,Canada,Premium Sticker Mart,Kerneler,895.0
104,104,2010-01-02,Canada,Premium Sticker Mart,Kerneler Dark Mode,1217.0
105,105,2010-01-02,Finland,Discount Stickers,Holographic Goose,127.0
106,106,2010-01-02,Finland,Discount Stickers,Kaggle,869.0
107,107,2010-01-02,Finland,Discount Stickers,Kaggle Tiers,764.0
108,108,2010-01-02,Finland,Discount Stickers,Kerneler,417.0
109,109,2010-01-02,Finland,Discount Stickers,Kerneler Dark Mode,440.0
110,110,2010-01-02,Finland,Stickers for Less,Holographic Goose,287.0
111,111,2010-01-02,Finland,Stickers for Less,Kaggle,1867.0
112,112,2010-01-02,Finland,Stickers for Less,Kaggle Tiers,1559.0
113,113,2010-01-02,Finland,Stickers for Less,Kerneler,741.0
114,114,2010-01-02,Finland,Stickers for Less,Kerneler Dark Mode,994.0
115,115,2010-01-02,Finland,Premium Sticker Mart,Holographic Goose,297.0
116,116,2010-01-02,Finland,Premium Sticker Mart,Kaggle,1903.0
117,117,2010-01-02,Finland,Premium Sticker Mart,Kaggle Tiers,2018.0
118,118,2010-01-02,Finland,Premium Sticker Mart,Kerneler,949.0
119,119,2010-01-02,Finland,Premium Sticker Mart,Kerneler Dark Mode,1120.0
120,120,2010-01-02,Italy,Discount Stickers,Holographic Goose,107.0
121,121,2010-01-02,Italy,Discount Stickers,Kaggle,743.0
122,122,2010-01-02,Italy,Discount Stickers,Kaggle Tiers,569.0
123,123,2010-01-02,Italy,Discount Stickers,Kerneler,319.0
124,124,2010-01-02,Italy,Discount Stickers,Kerneler Dark Mode,374.0
125,125,2010-01-02,Italy,Stickers for Less,Holographic Goose,226.0
126,126,2010-01-02,Italy,Stickers for Less,Kaggle,1387.0
127,127,2010-01-02,Italy,Stickers for Less,Kaggle Tiers,1072.0
128,128,2010-01-02,Italy,Stickers for Less,Kerneler,604.0
129,129,2010-01-02,Italy,Stickers for Less,Kerneler Dark Mode,691.0
130,130,2010-01-02,Italy,Premium Sticker Mart,Holographic Goose,251.0
131,131,2010-01-02,Italy,Premium Sticker Mart,Kaggle,1512.0
132,132,2010-01-02,Italy,Premium Sticker Mart,Kaggle Tiers,1419.0
133,133,2010-01-02,Italy,Premium Sticker Mart,Kerneler,729.0
134,134,2010-01-02,Italy,Premium Sticker Mart,Kerneler Dark Mode,885.0
135,135,2010-01-02,Kenya,Discount Stickers,Holographic Goose,
136,136,2010-01-02,Kenya,Discount Stickers,Kaggle,16.0
137,137,2010-01-02,Kenya,Discount Stickers,Kaggle Tiers,15.0
138,138,2010-01-02,Kenya,Discount Stickers,Kerneler,8.0
139,139,2010-01-02,Kenya,Discount Stickers,Kerneler Dark Mode,9.0
140,140,2010-01-02,Kenya,Stickers for Less,Holographic Goose,5.0
141,141,2010-01-02,Kenya,Stickers for Less,Kaggle,34.0
142,142,2010-01-02,Kenya,Stickers for Less,Kaggle Tiers,34.0
143,143,2010-01-02,Kenya,Stickers for Less,Kerneler,15.0
144,144,2010-01-02,Kenya,Stickers for Less,Kerneler Dark Mode,20.0
145,145,2010-01-02,Kenya,Premium Sticker Mart,Holographic Goose,6.0
146,146,2010-01-02,Kenya,Premium Sticker Mart,Kaggle,42.0
147,147,2010-01-02,Kenya,Premium Sticker Mart,Kaggle Tiers,38.0
148,148,2010-01-02,Kenya,Premium Sticker Mart,Kerneler,21.0
149,149,2010-01-02,Kenya,Premium Sticker Mart,Kerneler Dark Mode,23.0
150,150,2010-01-02,Norway,Discount Stickers,Holographic Goose,274.0
151,151,2010-01-02,Norway,Discount Stickers,Kaggle,1634.0
152,152,2010-01-02,Norway,Discount Stickers,Kaggle Tiers,1508.0
153,153,2010-01-02,Norway,Discount Stickers,Kerneler,799.0
154,154,2010-01-02,Norway,Discount Stickers,Kerneler Dark Mode,884.0
155,155,2010-01-02,Norway,Stickers for Less,Holographic Goose,475.0
156,156,2010-01-02,Norway,Stickers for Less,Kaggle,3545.0
157,157,2010-01-02,Norway,Stickers for Less,Kaggle Tiers,2784.0
158,158,2010-01-02,Norway,Stickers for Less,Kerneler,1537.0
159,159,2010-01-02,Norway,Stickers for Less,Kerneler Dark Mode,1907.0
160,160,2010-01-02,Norway,Premium Sticker Mart,Holographic Goose,643.0
161,161,2010-01-02,Norway,Premium Sticker Mart,Kaggle,3915.0
162,162,2010-01-02,Norway,Premium Sticker Mart,Kaggle Tiers,3482.0
163,163,2010-01-02,Norway,Premium Sticker Mart,Kerneler,1741.0
164,164,2010-01-02,Norway,Premium Sticker Mart,Kerneler Dark Mode,2050.0
165,165,2010-01-02,Singapore,Discount Stickers,Holographic Goose,146.0
166,166,2010-01-02,Singapore,Discount Stickers,Kaggle,857.0
167,167,2010-01-02,Singapore,Discount Stickers,Kaggle Tiers,792.0
168,168,2010-01-02,Singapore,Discount Stickers,Kerneler,410.0
169,169,2010-01-02,Singapore,Discount Stickers,Kerneler Dark Mode,468.0
170,170,2010-01-02,Singapore,Stickers for Less,Holographic Goose,268.0
171,171,2010-01-02,Singapore,Stickers for Less,Kaggle,1763.0
172,172,2010-01-02,Singapore,Stickers for Less,Kaggle Tiers,1689.0
173,173,2010-01-02,Singapore,Stickers for Less,Kerneler,781.0
174,174,2010-01-02,Singapore,Stickers for Less,Kerneler Dark Mode,971.0
175,175,2010-01-02,Singapore,Premium Sticker Mart,Holographic Goose,364.0
176,176,2010-01-02,Singapore,Premium Sticker Mart,Kaggle,2322.0
177,177,2010-01-02,Singapore,Premium Sticker Mart,Kaggle Tiers,1938.0
178,178,2010-01-02,Singapore,Premium Sticker Mart,Kerneler,1010.0
179,179,2010-01-02,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1224.0
180,180,2010-01-03,Canada,Discount Stickers,Holographic Goose,
181,181,2010-01-03,Canada,Discount Stickers,Kaggle,1003.0
182,182,2010-01-03,Canada,Discount Stickers,Kaggle Tiers,839.0
183,183,2010-01-03,Canada,Discount Stickers,Kerneler,417.0
184,184,2010-01-03,Canada,Discount Stickers,Kerneler Dark Mode,495.0
185,185,2010-01-03,Canada,Stickers for Less,Holographic Goose,297.0
186,186,2010-01-03,Canada,Stickers for Less,Kaggle,1936.0
187,187,2010-01-03,Canada,Stickers for Less,Kaggle Tiers,1770.0
188,188,2010-01-03,Canada,Stickers for Less,Kerneler,832.0
189,189,2010-01-03,Canada,Stickers for Less,Kerneler Dark Mode,1087.0
190,190,2010-01-03,Canada,Premium Sticker Mart,Holographic Goose,338.0
191,191,2010-01-03,Canada,Premium Sticker Mart,Kaggle,2459.0
192,192,2010-01-03,Canada,Premium Sticker Mart,Kaggle Tiers,1938.0
193,193,2010-01-03,Canada,Premium Sticker Mart,Kerneler,1015.0
194,194,2010-01-03,Canada,Premium Sticker Mart,Kerneler Dark Mode,1188.0
195,195,2010-01-03,Finland,Discount Stickers,Holographic Goose,152.0
196,196,2010-01-03,Finland,Discount Stickers,Kaggle,1036.0
197,197,2010-01-03,Finland,Discount Stickers,Kaggle Tiers,815.0
198,198,2010-01-03,Finland,Discount Stickers,Kerneler,469.0
199,199,2010-01-03,Finland,Discount Stickers,Kerneler Dark Mode,531.0
200,200,2010-01-03,Finland,Stickers for Less,Holographic Goose,308.0
201,201,2010-01-03,Finland,Stickers for Less,Kaggle,1956.0
202,202,2010-01-03,Finland,Stickers for Less,Kaggle Tiers,1462.0
203,203,2010-01-03,Finland,Stickers for Less,Kerneler,877.0
204,204,2010-01-03,Finland,Stickers for Less,Kerneler Dark Mode,980.0
205,205,2010-01-03,Finland,Premium Sticker Mart,Holographic Goose,357.0
206,206,2010-01-03,Finland,Premium Sticker Mart,Kaggle,2349.0
207,207,2010-01-03,Finland,Premium Sticker Mart,Kaggle Tiers,1983.0
208,208,2010-01-03,Finland,Premium Sticker Mart,Kerneler,1018.0
209,209,2010-01-03,Finland,Premium Sticker Mart,Kerneler Dark Mode,1234.0
210,210,2010-01-03,Italy,Discount Stickers,Holographic Goose,122.0
211,211,2010-01-03,Italy,Discount Stickers,Kaggle,708.0
212,212,2010-01-03,Italy,Discount Stickers,Kaggle Tiers,593.0
213,213,2010-01-03,Italy,Discount Stickers,Kerneler,337.0
214,214,2010-01-03,Italy,Discount Stickers,Kerneler Dark Mode,398.0
215,215,2010-01-03,Italy,Stickers for Less,Holographic Goose,236.0
216,216,2010-01-03,Italy,Stickers for Less,Kaggle,1522.0
217,217,2010-01-03,Italy,Stickers for Less,Kaggle Tiers,1318.0
218,218,2010-01-03,Italy,Stickers for Less,Kerneler,654.0
219,219,2010-01-03,Italy,Stickers for Less,Kerneler Dark Mode,747.0
220,220,2010-01-03,Italy,Premium Sticker Mart,Holographic Goose,266.0
221,221,2010-01-03,Italy,Premium Sticker Mart,Kaggle,1680.0
222,222,2010-01-03,Italy,Premium Sticker Mart,Kaggle Tiers,1635.0
223,223,2010-01-03,Italy,Premium Sticker Mart,Kerneler,864.0
224,224,2010-01-03,Italy,Premium Sticker Mart,Kerneler Dark Mode,935.0
225,225,2010-01-03,Kenya,Discount Stickers,Holographic Goose,
226,226,2010-01-03,Kenya,Discount Stickers,Kaggle,19.0
227,227,2010-01-03,Kenya,Discount Stickers,Kaggle Tiers,16.0
228,228,2010-01-03,Kenya,Discount Stickers,Kerneler,8.0
229,229,2010-01-03,Kenya,Discount Stickers,Kerneler Dark Mode,10.0
230,230,2010-01-03,Kenya,Stickers for Less,Holographic Goose,5.0
231,231,2010-01-03,Kenya,Stickers for Less,Kaggle,38.0
232,232,2010-01-03,Kenya,Stickers for Less,Kaggle Tiers,33.0
233,233,2010-01-03,Kenya,Stickers for Less,Kerneler,17.0
234,234,2010-01-03,Kenya,Stickers for Less,Kerneler Dark Mode,20.0
235,235,2010-01-03,Kenya,Premium Sticker Mart,Holographic Goose,7.0
236,236,2010-01-03,Kenya,Premium Sticker Mart,Kaggle,48.0
237,237,2010-01-03,Kenya,Premium Sticker Mart,Kaggle Tiers,40.0
238,238,2010-01-03,Kenya,Premium Sticker Mart,Kerneler,20.0
239,239,2010-01-03,Kenya,Premium Sticker Mart,Kerneler Dark Mode,22.0
240,240,2010-01-03,Norway,Discount Stickers,Holographic Goose,267.0
241,241,2010-01-03,Norway,Discount Stickers,Kaggle,1753.0
242,242,2010-01-03,Norway,Discount Stickers,Kaggle Tiers,1582.0
243,243,2010-01-03,Norway,Discount Stickers,Kerneler,830.0
244,244,2010-01-03,Norway,Discount Stickers,Kerneler Dark Mode,879.0
245,245,2010-01-03,Norway,Stickers for Less,Holographic Goose,568.0
246,246,2010-01-03,Norway,Stickers for Less,Kaggle,3526.0
247,247,2010-01-03,Norway,Stickers for Less,Kaggle Tiers,2866.0
248,248,2010-01-03,Norway,Stickers for Less,Kerneler,1571.0
249,249,2010-01-03,Norway,Stickers for Less,Kerneler Dark Mode,1879.0
250,250,2010-01-03,Norway,Premium Sticker Mart,Holographic Goose,654.0
251,251,2010-01-03,Norway,Premium Sticker Mart,Kaggle,4541.0
252,252,2010-01-03,Norway,Premium Sticker Mart,Kaggle Tiers,3867.0
253,253,2010-01-03,Norway,Premium Sticker Mart,Kerneler,1971.0
254,254,2010-01-03,Norway,Premium Sticker Mart,Kerneler Dark Mode,2299.0
255,255,2010-01-03,Singapore,Discount Stickers,Holographic Goose,155.0
256,256,2010-01-03,Singapore,Discount Stickers,Kaggle,979.0
257,257,2010-01-03,Singapore,Discount Stickers,Kaggle Tiers,832.0
258,258,2010-01-03,Singapore,Discount Stickers,Kerneler,462.0
259,259,2010-01-03,Singapore,Discount Stickers,Kerneler Dark Mode,498.0
260,260,2010-01-03,Singapore,Stickers for Less,Holographic Goose,289.0
261,261,2010-01-03,Singapore,Stickers for Less,Kaggle,1801.0
262,262,2010-01-03,Singapore,Stickers for Less,Kaggle Tiers,1690.0
263,263,2010-01-03,Singapore,Stickers for Less,Kerneler,813.0
264,264,2010-01-03,Singapore,Stickers for Less,Kerneler Dark Mode,987.0
265,265,2010-01-03,Singapore,Premium Sticker Mart,Holographic Goose,388.0
266,266,2010-01-03,Singapore,Premium Sticker Mart,Kaggle,2253.0
267,267,2010-01-03,Singapore,Premium Sticker Mart,Kaggle Tiers,2315.0
268,268,2010-01-03,Singapore,Premium Sticker Mart,Kerneler,1040.0
269,269,2010-01-03,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1314.0
270,270,2010-01-04,Canada,Discount Stickers,Holographic Goose,
271,271,2010-01-04,Canada,Discount Stickers,Kaggle,744.0
272,272,2010-01-04,Canada,Discount Stickers,Kaggle Tiers,609.0
273,273,2010-01-04,Canada,Discount Stickers,Kerneler,339.0
274,274,2010-01-04,Canada,Discount Stickers,Kerneler Dark Mode,441.0
275,275,2010-01-04,Canada,Stickers for Less,Holographic Goose,235.0
276,276,2010-01-04,Canada,Stickers for Less,Kaggle,1382.0
277,277,2010-01-04,Canada,Stickers for Less,Kaggle Tiers,1243.0
278,278,2010-01-04,Canada,Stickers for Less,Kerneler,646.0
279,279,2010-01-04,Canada,Stickers for Less,Kerneler Dark Mode,778.0
280,280,2010-01-04,Canada,Premium Sticker Mart,Holographic Goose,277.0
281,281,2010-01-04,Canada,Premium Sticker Mart,Kaggle,1714.0
282,282,2010-01-04,Canada,Premium Sticker Mart,Kaggle Tiers,1567.0
283,283,2010-01-04,Canada,Premium Sticker Mart,Kerneler,802.0
284,284,2010-01-04,Canada,Premium Sticker Mart,Kerneler Dark Mode,1046.0
285,285,2010-01-04,Finland,Discount Stickers,Holographic Goose,113.0
286,286,2010-01-04,Finland,Discount Stickers,Kaggle,677.0
287,287,2010-01-04,Finland,Discount Stickers,Kaggle Tiers,664.0
288,288,2010-01-04,Finland,Discount Stickers,Kerneler,356.0
289,289,2010-01-04,Finland,Discount Stickers,Kerneler Dark Mode,399.0
290,290,2010-01-04,Finland,Stickers for Less,Holographic Goose,239.0
291,291,2010-01-04,Finland,Stickers for Less,Kaggle,1446.0
292,292,2010-01-04,Finland,Stickers for Less,Kaggle Tiers,1316.0
293,293,2010-01-04,Finland,Stickers for Less,Kerneler,683.0
294,294,2010-01-04,Finland,Stickers for Less,Kerneler Dark Mode,765.0
295,295,2010-01-04,Finland,Premium Sticker Mart,Holographic Goose,295.0
296,296,2010-01-04,Finland,Premium Sticker Mart,Kaggle,1705.0
297,297,2010-01-04,Finland,Premium Sticker Mart,Kaggle Tiers,1577.0
298,298,2010-01-04,Finland,Premium Sticker Mart,Kerneler,769.0
299,299,2010-01-04,Finland,Premium Sticker Mart,Kerneler Dark Mode,931.0
300,300,2010-01-04,Italy,Discount Stickers,Holographic Goose,91.0
301,301,2010-01-04,Italy,Discount Stickers,Kaggle,538.0
302,302,2010-01-04,Italy,Discount Stickers,Kaggle Tiers,512.0
303,303,2010-01-04,Italy,Discount Stickers,Kerneler,250.0
304,304,2010-01-04,Italy,Discount Stickers,Kerneler Dark Mode,293.0
305,305,2010-01-04,Italy,Stickers for Less,Holographic Goose,187.0
306,306,2010-01-04,Italy,Stickers for Less,Kaggle,1154.0
307,307,2010-01-04,Italy,Stickers for Less,Kaggle Tiers,1009.0
308,308,2010-01-04,Italy,Stickers for Less,Kerneler,535.0
309,309,2010-01-04,Italy,Stickers for Less,Kerneler Dark Mode,578.0
310,310,2010-01-04,Italy,Premium Sticker Mart,Holographic Goose,213.0
311,311,2010-01-04,Italy,Premium Sticker Mart,Kaggle,1288.0
312,312,2010-01-04,Italy,Premium Sticker Mart,Kaggle Tiers,1226.0
313,313,2010-01-04,Italy,Premium Sticker Mart,Kerneler,574.0
314,314,2010-01-04,Italy,Premium Sticker Mart,Kerneler Dark Mode,697.0
315,315,2010-01-04,Kenya,Discount Stickers,Holographic Goose,
316,316,2010-01-04,Kenya,Discount Stickers,Kaggle,14.0
317,317,2010-01-04,Kenya,Discount Stickers,Kaggle Tiers,12.0
318,318,2010-01-04,Kenya,Discount Stickers,Kerneler,6.0
319,319,2010-01-04,Kenya,Discount Stickers,Kerneler Dark Mode,8.0
320,320,2010-01-04,Kenya,Stickers for Less,Holographic Goose,
321,321,2010-01-04,Kenya,Stickers for Less,Kaggle,30.0
322,322,2010-01-04,Kenya,Stickers for Less,Kaggle Tiers,28.0
323,323,2010-01-04,Kenya,Stickers for Less,Kerneler,12.0
324,324,2010-01-04,Kenya,Stickers for Less,Kerneler Dark Mode,16.0
325,325,2010-01-04,Kenya,Premium Sticker Mart,Holographic Goose,5.0
326,326,2010-01-04,Kenya,Premium Sticker Mart,Kaggle,37.0
327,327,2010-01-04,Kenya,Premium Sticker Mart,Kaggle Tiers,31.0
328,328,2010-01-04,Kenya,Premium Sticker Mart,Kerneler,15.0
329,329,2010-01-04,Kenya,Premium Sticker Mart,Kerneler Dark Mode,18.0
330,330,2010-01-04,Norway,Discount Stickers,Holographic Goose,228.0
331,331,2010-01-04,Norway,Discount Stickers,Kaggle,1216.0
332,332,2010-01-04,Norway,Discount Stickers,Kaggle Tiers,1316.0
333,333,2010-01-04,Norway,Discount Stickers,Kerneler,550.0
334,334,2010-01-04,Norway,Discount Stickers,Kerneler Dark Mode,767.0
335,335,2010-01-04,Norway,Stickers for Less,Holographic Goose,445.0
336,336,2010-01-04,Norway,Stickers for Less,Kaggle,2851.0
337,337,2010-01-04,Norway,Stickers for Less,Kaggle Tiers,2627.0
338,338,2010-01-04,Norway,Stickers for Less,Kerneler,1246.0
339,339,2010-01-04,Norway,Stickers for Less,Kerneler Dark Mode,1532.0
340,340,2010-01-04,Norway,Premium Sticker Mart,Holographic Goose,496.0
341,341,2010-01-04,Norway,Premium Sticker Mart,Kaggle,3303.0
342,342,2010-01-04,Norway,Premium Sticker Mart,Kaggle Tiers,2913.0
343,343,2010-01-04,Norway,Premium Sticker Mart,Kerneler,1460.0
344,344,2010-01-04,Norway,Premium Sticker Mart,Kerneler Dark Mode,1816.0
345,345,2010-01-04,Singapore,Discount Stickers,Holographic Goose,123.0
346,346,2010-01-04,Singapore,Discount Stickers,Kaggle,766.0
347,347,2010-01-04,Singapore,Discount Stickers,Kaggle Tiers,668.0
348,348,2010-01-04,Singapore,Discount Stickers,Kerneler,329.0
349,349,2010-01-04,Singapore,Discount Stickers,Kerneler Dark Mode,385.0
350,350,2010-01-04,Singapore,Stickers for Less,Holographic Goose,256.0
351,351,2010-01-04,Singapore,Stickers for Less,Kaggle,1543.0
352,352,2010-01-04,Singapore,Stickers for Less,Kaggle Tiers,1205.0
353,353,2010-01-04,Singapore,Stickers for Less,Kerneler,602.0
354,354,2010-01-04,Singapore,Stickers for Less,Kerneler Dark Mode,839.0
355,355,2010-01-04,Singapore,Premium Sticker Mart,Holographic Goose,269.0
356,356,2010-01-04,Singapore,Premium Sticker Mart,Kaggle,1760.0
357,357,2010-01-04,Singapore,Premium Sticker Mart,Kaggle Tiers,1656.0
358,358,2010-01-04,Singapore,Premium Sticker Mart,Kerneler,846.0
359,359,2010-01-04,Singapore,Premium Sticker Mart,Kerneler Dark Mode,927.0
360,360,2010-01-05,Canada,Discount Stickers,Holographic Goose,
361,361,2010-01-05,Canada,Discount Stickers,Kaggle,707.0
362,362,2010-01-05,Canada,Discount Stickers,Kaggle Tiers,640.0
363,363,2010-01-05,Canada,Discount Stickers,Kerneler,290.0
364,364,2010-01-05,Canada,Discount Stickers,Kerneler Dark Mode,372.0
365,365,2010-01-05,Canada,Stickers for Less,Holographic Goose,240.0
366,366,2010-01-05,Canada,Stickers for Less,Kaggle,1416.0
367,367,2010-01-05,Canada,Stickers for Less,Kaggle Tiers,1319.0
368,368,2010-01-05,Canada,Stickers for Less,Kerneler,612.0
369,369,2010-01-05,Canada,Stickers for Less,Kerneler Dark Mode,772.0
370,370,2010-01-05,Canada,Premium Sticker Mart,Holographic Goose,287.0
371,371,2010-01-05,Canada,Premium Sticker Mart,Kaggle,1593.0
372,372,2010-01-05,Canada,Premium Sticker Mart,Kaggle Tiers,1590.0
373,373,2010-01-05,Canada,Premium Sticker Mart,Kerneler,773.0
374,374,2010-01-05,Canada,Premium Sticker Mart,Kerneler Dark Mode,894.0
375,375,2010-01-05,Finland,Discount Stickers,Holographic Goose,116.0
376,376,2010-01-05,Finland,Discount Stickers,Kaggle,782.0
